titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source,raison_rejet
Location villa 4 pièces - cité caisse,LOCATION,Villa,non precise,2000000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex avec piscine et jardin a Totsi,LOCATION,Villa,totsi,2000000,,,coinafrique,prix_ou_surface_manquant
Location villa avec piscine 4 pièces à Tokoin hôpital,LOCATION,Villa,tokoin,2000000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée avec piscine de 3 pièces à kodjoviakopé,LOCATION,Villa,kodjoviakope,2000000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa 6 pièces - Kodjoviakope,LOCATION,Villa,kodjoviakope,1800000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa 6pièces - Togo,LOCATION,Villa,togo,1800000,6.0,,coinafrique,zone_invalide
Location villa à Totsi,LOCATION,Villa,totsi,1800000,,,coinafrique,prix_ou_surface_manquant
Location villa duplex à Totsi,LOCATION,Villa,totsi,1800000,,,coinafrique,prix_ou_surface_manquant
Location villa 4chs à Totsi,LOCATION,Villa,totsi,1800000,,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces avec piscine à Casablanca,LOCATION,Villa,casablanca,1800000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa à la cité la Caisse,LOCATION,Villa,la,1500000,,,coinafrique,prix_ou_surface_manquant
Location villa duplex meublée avec piscine non loin de la Caisse,LOCATION,Villa,caisse,1500000,,,coinafrique,prix_ou_surface_manquant
Location villa - Hedzranawoe,LOCATION,Villa,hedzranawoe,1500000,,,coinafrique,prix_ou_surface_manquant
Location villa duplex à Agbalepedo,LOCATION,Villa,agbalepedo,1500000,,,coinafrique,prix_ou_surface_manquant
Location villa à côté de la pharmacie Yembla et de la caisse résidence du Bénin,LOCATION,Villa,cote de la pharmacie yembla et de la caisse residence du benin,1500000,,,coinafrique,zone_trop_longue
Location villa meublée 4 pièces à Nyékonakpoè,LOCATION,Villa,nyekonakpoe,1500000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa à la cité Oua,LOCATION,Villa,la,1500000,,,coinafrique,prix_ou_surface_manquant
Location villa meublée 5 pièces à Baguida,LOCATION,Villa,baguida,1500000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa sous - sol avec piscine meublée de 5 pièces à Baguida,LOCATION,Villa,sol avec piscine meublee de 5 pieces a baguida,1500000,5.0,,coinafrique,zone_trop_longue
Location villa 5 pièces avec piscine à Forever,LOCATION,Villa,forever,1500000,5.0,,coinafrique,zone_description_lieu
Location villas 4 pièces - Lomé,LOCATION,Villa,lome,1300000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces + jardin et piscine - Tokoin protestant,LOCATION,Villa,tokoin,1300000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa piscine + jardin de 4 chambres salon à Tokoin,LOCATION,Villa,tokoin,1300000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa triplex 5 pièces - Kodjoviakope,LOCATION,Villa,kodjoviakope,1300000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa 3 pièces - Tokoin,LOCATION,Villa,tokoin,1300000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces à la citée caisse,LOCATION,Villa,la,1300000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa 6 pièces - Cité Millénium,LOCATION,Villa,non precise,1300000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa - Tokoin,LOCATION,Villa,tokoin,1300000,,,coinafrique,prix_ou_surface_manquant
Location villa triplex avec piscine Kodjoviakope Lomé,LOCATION,Villa,kodjoviakope,1300000,,,coinafrique,prix_ou_surface_manquant
Location villa triplex avec piscine à Kodjoviakope Lomé,LOCATION,Villa,kodjoviakope lome,1300000,,,coinafrique,prix_ou_surface_manquant
Location villa à Forever,LOCATION,Villa,forever,1300000,,,coinafrique,zone_description_lieu
Location villa avec piscine de 04 pièces à Gtaà gta,LOCATION,Villa,gtaa gta,1300000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 5 pièces - Lomé,LOCATION,Villa,lome,1300000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex à Forever pharmacie,LOCATION,Villa,forever pharmacie,1300000,,,coinafrique,zone_description_lieu
Location villa duplex meublé 7 pièces + piscine - Avenou,LOCATION,Villa,avenou,1200000,7.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces à la résidence Caisse,LOCATION,Villa,la residence caisse,1200000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa 07 pièces - Djidjolé,LOCATION,Villa,djidjole,1200000,7.0,,coinafrique,prix_ou_surface_manquant
Location villa à jardin piscine climatisé a GTA,LOCATION,Villa,jardin piscine climatise a gta,1200000,,,coinafrique,prix_ou_surface_manquant
Location Maison de vacances 5 pièces - Adidogomé,LOCATION,Villa,adidogome,1200000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa piscine à Forever,LOCATION,Villa,forever,1200000,,,coinafrique,zone_description_lieu
Location villa meublée 4 pièces à Amadahome Ecobank,LOCATION,Villa,amadahome,1200000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex de 04 pièces à Amadahome ecobank,LOCATION,Villa,amadahome,1200000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 8 pieces à Avénou,LOCATION,Villa,avenou,1100000,,,coinafrique,prix_ou_surface_manquant
Location villa duplex avec piscine à Forever,LOCATION,Villa,forever,1100000,,,coinafrique,zone_description_lieu
Location villas 5 pièces - Lomé,LOCATION,Villa,lome,1100000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 10 pièces - Agoé,LOCATION,Villa,agoe,1100000,10.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 6 pièces - Lomé,LOCATION,Villa,lome,1100000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa à Lomé précisément Forever,LOCATION,Villa,forever,1100000,,,coinafrique,zone_description_lieu
Location villa 4 pièces à Forever),LOCATION,Villa,forever,1100000,4.0,,coinafrique,zone_description_lieu
Location villa duplex piscine 3 chambres Forever,LOCATION,Villa,duplex piscine,1100000,3.0,,coinafrique,prix_ou_surface_manquant
VILLA MEUBLÉE AVEC PISCINE,LOCATION,Villa,meublee avec piscine,1100000,,600.0,coinafrique,zone_description_lieu
VILLA MEUBLÉE AVEC PISCINE,LOCATION,Villa,meublee avec piscine,1100000,,,coinafrique,zone_description_lieu
Location villa duplex 3 chambres salon piscine à Lomé,LOCATION,Villa,lome,1100000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa 7 pièces - Kégué fédération,LOCATION,Villa,kegue,1000000,7.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 5 pièces - Hedranawoé,LOCATION,Villa,hedzranawoe,1000000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 6 pièces - Hedranawoé,LOCATION,Villa,hedzranawoe,1000000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa à Hedzranawoe,LOCATION,Villa,hedzranawoe,1000000,,,coinafrique,prix_ou_surface_manquant
Location villas 5 pièces - Lomé,LOCATION,Villa,lome,1000000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 7 pièces - Adewui,LOCATION,Villa,adewui,1000000,7.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 6 pièces - Hedranawoe,LOCATION,Villa,hedzranawoe,1000000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 chambres cité Oua,LOCATION,Villa,non precise,1000000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex - Hedranawoé,LOCATION,Villa,hedzranawoe,1000000,,,coinafrique,prix_ou_surface_manquant
Location villa duplex 12 pièces - Adewi,LOCATION,Villa,adewui,1000000,12.0,,coinafrique,prix_ou_surface_manquant
Location villa 5pièces - La Caisse,LOCATION,Villa,la caisse,1000000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex - Hedzranawoé,LOCATION,Villa,hedzranawoe,1000000,,,coinafrique,prix_ou_surface_manquant
Location villa duplex 4 pièces meublée + piscine et jardin a Baguida bateauvi,LOCATION,Villa,baguida,1000000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 pièces à la Caisse,LOCATION,Villa,la caisse,1000000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 8 pièces - Hedranawoé,LOCATION,Villa,hedzranawoe,900000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 chambres salon piscine - Hedranawoe,LOCATION,Villa,hedzranawoe,900000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 pièces - Novissi,LOCATION,Villa,novissi,900000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa jardin avec piscine à Nyekonakpoe,LOCATION,Villa,nyekonakpoe,900000,,,coinafrique,prix_ou_surface_manquant
Location villa 5pièces avec piscine jardin - Hedranawoé tchinga,LOCATION,Villa,hedzranawoe tchinga,900000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa 8 pièces - Avenou,LOCATION,Villa,avenou,900000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 3 chambres salon à Tokoin Sotède,LOCATION,Villa,tokoin,900000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 chambres à Wuiti,LOCATION,Villa,wuiti,900000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa à Hedrzanwoé,LOCATION,Villa,hedzranawoe,850000,,,coinafrique,prix_ou_surface_manquant
Location villa 7 chambres - Togokme,LOCATION,Villa,togokme,850000,7.0,,coinafrique,prix_ou_surface_manquant
Location villa 7 chambres - Togokome,LOCATION,Villa,togokome,850000,7.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 3 pièces à Adidoadin,LOCATION,Villa,adidoadin,850000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces cour unique de 4 chambres - Rue de l'ocam,LOCATION,Villa,rue de l ocam,800000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex jardin 4 chambres salon à Hedranawoé balcan,LOCATION,Villa,hedzranawoe balcan,800000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 5 pièces + piscine a Baguida,LOCATION,Villa,meublee,800000,5.0,,coinafrique,zone_description_lieu
Location villa 7 pièces - Lomé,LOCATION,Villa,lome,800000,7.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 8 pièces - kégué,LOCATION,Villa,kegue,800000,8.0,,coinafrique,prix_ou_surface_manquant
Location villas 4 pièces - Lomé,LOCATION,Villa,lome,800000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 6 pièces - Agodeka,LOCATION,Villa,agodeka,800000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa 6 pièces - Kegue,LOCATION,Villa,kegue,800000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 chambres salon + jardin à Kegué 14 villas,LOCATION,Villa,kegue,800000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 10 pièces - Vakpossito,LOCATION,Villa,vakpossito,800000,10.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 4 pièces - cito - aéroport,LOCATION,Villa,hedzranawoe aeroport,800000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa meublé - Legbassito,LOCATION,Villa,legbassito,800000,,,coinafrique,prix_ou_surface_manquant
Location villa 6pièces - Kegue,LOCATION,Villa,kegue,800000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa 3 chambres salon à Tokoin Nukafu,LOCATION,Villa,tokoin,800000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 6pièces - Kegue,LOCATION,Villa,kegue,800000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa piscine avec jardin à Atikoume,LOCATION,Villa,atikoume,800000,,,coinafrique,prix_ou_surface_manquant
Location villa - Tokoin,LOCATION,Villa,tokoin,800000,,,coinafrique,prix_ou_surface_manquant
Location villa 9 pièces - Gand Marché De Lomé,LOCATION,Villa,gand marche de lome,800000,9.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 05 pièces à Baguida Luzolin,LOCATION,Villa,baguida luzolin,800000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa de 04 pièces à Avedji cito,LOCATION,Villa,avedji cito,800000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 06 pièces à Hedzranawoe,LOCATION,Villa,hedzranawoe,800000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée de 4 pièces avec piscine à adidogomé sagbado,LOCATION,Villa,adidogome,800000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 3 pièces à Agoé 2lion,LOCATION,Villa,agoe,800000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa 6pièces - Kégué 14 villa,LOCATION,Villa,kegue,800000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex à Balkan,LOCATION,Villa,balkan,800000,,,coinafrique,prix_ou_surface_manquant
Location villa duplex 4 chambres salon à Hôtel balkan,LOCATION,Villa,hotel balkan,800000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 5 pièces - Tokoin,LOCATION,Villa,tokoin,750000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée - Togo 2000,LOCATION,Villa,togo 2000,750000,,,coinafrique,prix_ou_surface_manquant
Location villa 4 chambres salon + 2 dépendances à Forever,LOCATION,Villa,forever,750000,4.0,,coinafrique,zone_description_lieu
Location villa basse 7 pièces a forever,LOCATION,Villa,basse,750000,7.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 4 pièces – résidence à baguida,LOCATION,Villa,baguida,750000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée de 03 pièces à Baguida,LOCATION,Villa,baguida,750000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 4 pièces - Novissi,LOCATION,Villa,novissi,700000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 chambres à Tokoin forever,LOCATION,Villa,tokoin,700000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 3 chambres jardin à Novissi,LOCATION,Villa,novissi,700000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 chambres 2 salon à Tokoin forever,LOCATION,Villa,tokoin,700000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa 6 chambres 2 salons Noukafou pas loin de la pharmacie,LOCATION,Villa,pharmacie,700000,6.0,,coinafrique,zone_description_lieu
Location villa - Hedzranawé :+228 99 25 60 08,LOCATION,Villa,hedzranawoe,700000,,,coinafrique,prix_ou_surface_manquant
Location villa 6 pièces - Novissi,LOCATION,Villa,novissi,700000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 4 pièces - Lomé,LOCATION,Villa,lome,700000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 8 pièces - Hedjranawoé Sagboville,LOCATION,Villa,hedjranawoe sagboville,700000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex avec jardin à la Novissi,LOCATION,Villa,la novissi,700000,,,coinafrique,prix_ou_surface_manquant
Location villa de 05 pièces à Hedzranawoe sagboville,LOCATION,Villa,hedzranawoe sagboville,700000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa 6 pièces avec piscine à kégué kpatcha,LOCATION,Villa,kegue,700000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 8 pièces a bailler a Agbolopedo,LOCATION,Villa,agbalepedo,650000,8.0,,coinafrique,prix_ou_surface_manquant
A louer une villa avec piscine + jardin - Ablogamé sarakawa,LOCATION,Villa,ablogame,650000,,,coinafrique,prix_ou_surface_manquant
Location villa 8pièces - Adidogomé wonyomé,LOCATION,Villa,adidogome,650000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa avec piscine de 04 pièces à ablogame,LOCATION,Villa,ablogame,650000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée avec piscine à Entreprise l'union,LOCATION,Villa,entreprise l union,600000,,,coinafrique,prix_ou_surface_manquant
Location villa 4 pièces à Djidjolé,LOCATION,Villa,djidjole,600000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 8 pièces - Klikamé,LOCATION,Villa,klikame,600000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 8 pièces + jardin à Tokoin hôpital,LOCATION,Villa,tokoin,600000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa 2 pièces entreprise de l'union,LOCATION,Villa,entreprise l union,600000,2.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 08 pièces - Nukafu,LOCATION,Villa,nukafu,600000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces - Lomé,LOCATION,Villa,lome,600000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa triplex 10 pièces à Nyékonakpoe,LOCATION,Villa,nyekonakpoe,600000,10.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 4 pièces - Agoè 2 Lion,LOCATION,Villa,agoe,600000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa triplex 10chambre 2 salon - Nyekonakpoè,LOCATION,Villa,nyekonakpoe,600000,10.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 7 chambres salon à Agoé Sogbossito derrière coris banque,LOCATION,Villa,sogbossito,600000,7.0,,coinafrique,prix_ou_surface_manquant
Location villa 2 lots avec piscine et jardin à Ablogamé Sarakawa,LOCATION,Villa,ablogame,600000,,1200.0,coinafrique,prix_m2_trop_bas
Location villa 5 pièces - Noukafu,LOCATION,Villa,noukafu,600000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex meuble 4 pièces - Agoè,LOCATION,Villa,agoe,600000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 8 pièces à Adidogomé Ipg,LOCATION,Villa,adidogome,600000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 pièces à Agbalepedo,LOCATION,Villa,agbalepedo,600000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 3 pièces à Cité Mokpokpo,LOCATION,Villa,non precise,600000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa de 06 pièces - Nukafu,LOCATION,Villa,nukafu,600000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa 05 pièces Atikoumé estao,LOCATION,Villa,atikoume,600000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 4 pièces - Tokoin Nukafu,LOCATION,Villa,tokoin,600000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 11 pièces - Avenou,LOCATION,Villa,avenou,600000,11.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 pièces - Lomé,LOCATION,Villa,lome,600000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa - Ablogamé Sarakawa,LOCATION,Villa,ablogame,600000,,,coinafrique,prix_ou_surface_manquant
Location villa meublée 4 pièces - Agoe 2 Lion,LOCATION,Villa,agoe 2 lions,600000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 7 pièces - Ablogamé,LOCATION,Villa,ablogame,600000,7.0,,coinafrique,prix_ou_surface_manquant
Location villa jardin de 10 chambres salon à Hedranawoé clinique,LOCATION,Villa,hedzranawoe clinique,600000,10.0,,coinafrique,zone_description_lieu
Location villa de 8 pièces à adidogomé ipj,LOCATION,Villa,adidogome,600000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 pièces - Lomé,LOCATION,Villa,lome,550000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa meublé - Adidogomé,LOCATION,Villa,adidogome,550000,,,coinafrique,prix_ou_surface_manquant
Location villa 11 pièces - Adidogomé,LOCATION,Villa,adidogome,550000,11.0,,coinafrique,prix_ou_surface_manquant
Location villa de 8 pièces à avenou,LOCATION,Villa,avenou,550000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa meublé 3 ch ambres salon à Djidjolé,LOCATION,Villa,djidjole,500000,,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces de haut standing a Agoé Daliko,LOCATION,Villa,agoe daliko,500000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa haute game 04 pièces Agoe Daliko,LOCATION,Villa,haute game,500000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces - Agoé Daliko,LOCATION,Villa,agoe daliko,500000,5.0,,coinafrique,prix_ou_surface_manquant
Location mini villa 2chs à Agoe 2 Lion,LOCATION,Villa,agoe,500000,,,coinafrique,prix_ou_surface_manquant
Location villa meublée 4 pièces - Agbalepedo,LOCATION,Villa,agbalepedo,500000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 6 pièces Avénou,LOCATION,Villa,avenou,500000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa de 06 pièces - kégué,LOCATION,Villa,kegue,500000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 3 pièces - Tokoin Soted,LOCATION,Villa,tokoin,500000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 3 chambres salon à Avépozo,LOCATION,Villa,avepozo,500000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa à Agoe Daliko Lomé,LOCATION,Villa,agoe daliko lome,500000,,,coinafrique,prix_ou_surface_manquant
Location villa - Kégué Kpatcha,LOCATION,Villa,kegue,500000,,,coinafrique,prix_ou_surface_manquant
Location villa 6 pièces - Kodjoviakope,LOCATION,Villa,kodjoviakope,500000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa 3 pièces - Agoè,LOCATION,Villa,agoe,500000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 4 pièces - Adidogomé,LOCATION,Villa,adidogome,500000,4.0,,coinafrique,prix_ou_surface_manquant
Location maison duplex haut standing à Adidogomé Sagbado,LOCATION,Villa,adidogome,500000,,,coinafrique,prix_ou_surface_manquant
Location villa meublé de 4 pièces à Kpogan,LOCATION,Villa,kpogan,450000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 3 pièces - Tokoin,LOCATION,Villa,tokoin,450000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 3 pièces - tokoin,LOCATION,Villa,tokoin,450000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa 6 pièces à Bailler - Kpogan Lomé,LOCATION,Villa,kpogan lome,450000,6.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 3 pièces à adidogomé cité mokpokpo,LOCATION,Villa,adidogome,450000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 2 chambres salon Agoe lycée mairie,LOCATION,Villa,agoe,450000,2.0,,coinafrique,prix_ou_surface_manquant
Location villa basse 3 chambres salon à Tokoin forever a,LOCATION,Villa,tokoin,450000,3.0,,coinafrique,prix_ou_surface_manquant
Location Villa de 8 pièces à Tokoin Super Taco,LOCATION,Villa,tokoin,400000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 pièces - Hedranawoé à côté de l'hôtel balkan une cilla duplex de 3 chambres salon,LOCATION,Villa,hedzranawoe a cote de l hotel balkan une cilla duplex de 3 chambres salon,400000,4.0,,coinafrique,zone_trop_longue
Location villa 4 pièces à Nyékonakpoé,LOCATION,Villa,nyekonakpoe,400000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex de 5 pièces à Soviépé,LOCATION,Villa,soviepe,400000,5.0,,coinafrique,prix_ou_surface_manquant
Location Villa de 8 pièces à Avépozo,LOCATION,Villa,avepozo,400000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa 3 chambres à Tokoin Forever,LOCATION,Villa,tokoin,400000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa base 4 chambres à Super taco,LOCATION,Villa,super taco,400000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 4 pièces haut standing a Agoé cacaveli,LOCATION,Villa,cacaveli,400000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 8 pièces - Agoé cacaveli,LOCATION,Villa,agoe cacaveli,400000,8.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 pièces - Forever,LOCATION,Villa,forever,400000,4.0,,coinafrique,zone_description_lieu
Location villa 5 pièces - Nyekonakpoe,LOCATION,Villa,nyekonakpoe,400000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa 3 chambre salon à Hedrzanwoé hôtel balkan,LOCATION,Villa,hedzranawoe,400000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces - Lomé,LOCATION,Villa,lome,400000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 pièces a hedranawoé hôtel balkan,LOCATION,Villa,hedzranawoe hotel balkan,400000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 pièces - Hedzranawoe,LOCATION,Villa,hedzranawoe,400000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 3 pièces - Agoè,LOCATION,Villa,agoe,400000,3.0,,coinafrique,prix_ou_surface_manquant
Location mini villa 3 pièces - Agoè,LOCATION,Villa,agoe,400000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée 4 pièces à Tokoin soted Lomé,LOCATION,Villa,tokoin,400000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa basse jardin 7 pièces a forever,LOCATION,Villa,basse jardin,400000,7.0,,coinafrique,prix_ou_surface_manquant
Location villa cour unique 4 chambres salon à Bé hôpital,LOCATION,Villa,be,400000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces - Agoè CEG Est,LOCATION,Villa,agoe,400000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa située juste derrière Mèche Amina,LOCATION,Villa,situee juste,400000,,,coinafrique,zone_description_lieu
Location villa duplex jardin de 5 pièces a Ablogamé sarakawa,LOCATION,Villa,ablogame,400000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces - Kégué,LOCATION,Villa,kegue,400000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 chambres à Kegue,LOCATION,Villa,kegue,400000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 4 pièces - Adidoadon,LOCATION,Villa,adidoadin,350000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa basse 5 pièces - Tosti,LOCATION,Villa,tosti,350000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa meublée de 3 pieces à Baguida,LOCATION,Villa,baguida,350000,,,coinafrique,prix_ou_surface_manquant
Location villa 4 pièces a hedranawoe,LOCATION,Villa,hedzranawoe,350000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 pièces - Lomé,LOCATION,Villa,lome,350000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces à forever 3 k au bord du goudron,LOCATION,Villa,forever,350000,5.0,,coinafrique,zone_description_lieu
Location villa meublée 3 pièces - Baguida Cité BCEAO,LOCATION,Villa,baguida,350000,3.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 4 chambres à Tokoin Doumassessé,LOCATION,Villa,tokoin,350000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex 5 pièces - Adewui,LOCATION,Villa,adewui,350000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa 4 chambres salon à Casablanca a 20 m du goudron,LOCATION,Villa,casablanca a,350000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa duplex cour unique 4 chambres à Lankouvi,LOCATION,Villa,lankouvi,350000,4.0,,coinafrique,prix_ou_surface_manquant
Location villa meublé - Kpogan,LOCATION,Villa,kpogan,350000,,,coinafrique,prix_ou_surface_manquant
Location villa 5 pièces a n'kafou,LOCATION,Villa,nukafou,350000,5.0,,coinafrique,prix_ou_surface_manquant
Location villa cour unique située à Lankouvi,LOCATION,Villa,lankouvi,350000,,,coinafrique,prix_ou_surface_manquant
Location villa 10 pièces - Hédzranawoé Station Yatt,LOCATION,Villa,hedzranawoe,350000,10.0,,coinafrique,prix_ou_surface_manquant
